arch,encoder_name,pretrained,val_dice,val_iou,val_loss
U-Net,MobileOne-S1,True,0.9302578568458556,0.8799669146537781,0.0711739808320999
U-Net,MobileOne-S1,False,0.8635384440422058,0.7693132758140564,0.1322045922279358
U-Net,MobileOne-S2,True,0.9303208589553832,0.8783813714981079,0.0708405300974845
U-Net,MobileOne-S2,False,0.8747106790542603,0.7860782742500305,0.1225911974906921
U-Net,MobileOne-S3,True,0.937572419643402,0.8888148665428162,0.0647375807166099
U-Net,MobileOne-S3,False,0.8674272894859314,0.7774465680122375,0.131460428237915
U-Net,mobileone_s4,True,0.9220661520957948,0.8638039827346802,0.080739602446556
U-Net,mobileone_s4,False,0.8990100622177124,0.8247845768928528,0.1025753244757652
U-Net,ResNet18,False,0.935620129108429,0.8860193490982056,0.0713651105761528
U-Net,ResNet18,False,0.9004903435707092,0.8289045095443726,0.0963911265134811
U-Net,ResNet18,True,0.9062235951423644,0.8411091566085815,0.0935271456837654
