arch,encoder,normalization,pretrained,train_dataset_length,test_dataset_length,parameter_count,inference_time,last_val_loss,last_val_dice,last_val_iou,last_val_train_loss,best_val_loss,best_val_dice,best_val_iou,best_val_train_loss
deeplabv3+,efficientnet-b1,zscore,other-dataset,252,1243,7412529,9.807012147903443,0.06268437737816299,0.93698654266873,0.887537108442041,0.021657811241253974,0.059420955667837144,0.9396782143885152,0.893526978772778,0.021051171723575818
deeplabv3+,efficientnet-b1,zscore,same-dataset,252,1243,7412529,9.75763331413269,0.06816607920493412,0.9308917336375696,0.8826442041036494,0.020724366995550338,0.059886327323564484,0.9386132854851426,0.8906138858196722,0.025470127395930745
deeplabv3+,efficientnet-b2,zscore,scratch,252,1243,8642163,9.630963830947875,0.10075941444498247,0.8891186422622693,0.8199604978891313,0.025705526095061076,0.10075941444498247,0.8891186422622693,0.8199604978891313,0.025705526095061076
deeplabv3+,efficientnet-b2,zscore,other-dataset,252,1243,8642163,9.771067876815795,0.07929723669661692,0.9191370800629031,0.8629612600429347,0.02006193587467784,0.0713681487047375,0.9256099929564054,0.875930316584396,0.02328066959504097
deeplabv3+,efficientnet-b2,zscore,same-dataset,252,1243,8642163,9.609793300628661,0.06221664007018865,0.9393214174364233,0.8933983654718867,0.018184948121271437,0.058990026691558374,0.9410169483286089,0.8958710296827271,0.02224222005951026
deeplabv3+,efficientnet-b3,zscore,scratch,252,1243,11679465,10.746339225769043,0.12974940486138423,0.8685552757398217,0.7984585723662128,0.024240596722515804,0.12974940486138423,0.8685552757398217,0.7984585723662128,0.024240596722515804
deeplabv3+,efficientnet-b3,zscore,other-dataset,252,1243,11679465,10.856996488571166,0.0726771490380156,0.9275138752170848,0.8775140876647262,0.0201996002523672,0.06907643109248324,0.9309182262957719,0.8783979392876475,0.02629477847071867
deeplabv3+,efficientnet-b3,zscore,same-dataset,252,1243,11679465,11.515365762710571,0.05283648215012501,0.9483139670288381,0.9065767665688107,0.019635310396552086,0.046004648655293356,0.9529312000290003,0.91231270480904,0.02026029699851596
deeplabv3+,efficientnet-b4,zscore,scratch,252,1243,18615353,18.86771551132202,0.07845034655887852,0.920400434602966,0.8649029589811833,0.024571069324063877,0.07845034655887852,0.920400434602966,0.8649029589811833,0.024571069324063877
deeplabv3+,efficientnet-b4,zscore,other-dataset,252,1243,18615353,115.83152671813964,0.07914192534605534,0.9227237402193985,0.8682472673233536,0.01931922190955707,0.054561459660913705,0.9447205927903289,0.9004023890291982,0.020173442032602098
deeplabv3+,efficientnet-b4,zscore,same-dataset,252,1243,18615353,101.90078285217285,0.05749553842402617,0.9426565216322245,0.8973833292794631,0.017265701429947974,0.05473200644779282,0.9454280296258167,0.9013127605471991,0.01941099606217846
deeplabv3+,mit_b0,zscore,scratch,252,1243,4132913,6.795591359138489,0.09124643214748257,0.8996834850848344,0.8307495262962336,0.03936983674528107,0.07899657032083142,0.9104033521558619,0.8437581039299815,0.04446282373770835
